"Service","Method","Path","Endpoint"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/actions","POST /{domainID}/clients/{clientID}/roles/{roleID}/actions"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/actions/delete","POST /{domainID}/clients/{clientID}/roles/{roleID}/actions/delete"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/actions/delete-all","POST /{domainID}/clients/{clientID}/roles/{roleID}/actions/delete-all"
"clients","GET","/{domainID}/clients/{clientID}/roles/{roleID}/members","GET /{domainID}/clients/{clientID}/roles/{roleID}/members"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/members","POST /{domainID}/clients/{clientID}/roles/{roleID}/members"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/members/delete","POST /{domainID}/clients/{clientID}/roles/{roleID}/members/delete"
"clients","POST","/{domainID}/clients/{clientID}/roles/{roleID}/members/delete-all","POST /{domainID}/clients/{clientID}/roles/{roleID}/members/delete-all"
"clients","GET","/{domainID}/clients/{clientID}/roles/members","GET /{domainID}/clients/{clientID}/roles/members"
"clients","PATCH","/{domainID}/clients/{clientID}/secret","PATCH /{domainID}/clients/{clientID}/secret"
"clients","PATCH","/{domainID}/clients/{clientID}/tags","PATCH /{domainID}/clients/{clientID}/tags"
"clients","POST","/{domainID}/clients/bulk","POST /{domainID}/clients/bulk"
"clients","GET","/{domainID}/clients/roles/available-actions","GET /{domainID}/clients/roles/available-actions"
"clients","GET","/health","GET /health"
"domains","GET","/domain/{domainID}/roles/members","GET /domain/{domainID}/roles/members"
"domains","GET","/domains","GET /domains"
"domains","POST","/domains","POST /domains"
"domains","GET","/domains/{domainID}","GET /domains/{domainID}"
"domains","PATCH","/domains/{domainID}","PATCH /domains/{domainID}"
"domains","POST","/domains/{domainID}/disable","POST /domains/{domainID}/disable"
"domains","POST","/domains/{domainID}/enable","POST /domains/{domainID}/enable"
"domains","POST","/domains/{domainID}/freeze","POST /domains/{domainID}/freeze"
"domains","DELETE","/domains/{domainID}/invitations","DELETE /domains/{domainID}/invitations"
"domains","GET","/domains/{domainID}/invitations","GET /domains/{domainID}/invitations"
"domains","POST","/domains/{domainID}/invitations","POST /domains/{domainID}/invitations"
"domains","GET","/domains/{domainID}/roles","GET /domains/{domainID}/roles"
"domains","POST","/domains/{domainID}/roles","POST /domains/{domainID}/roles"
"domains","DELETE","/domains/{domainID}/roles/{roleID}","DELETE /domains/{domainID}/roles/{roleID}"
"domains","GET","/domains/{domainID}/roles/{roleID}","GET /domains/{domainID}/roles/{roleID}"
"domains","PUT","/domains/{domainID}/roles/{roleID}","PUT /domains/{domainID}/roles/{roleID}"
